,epsilon,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,acc,macro-F1,micro-F1
0,0.0,0.6405589478628464,0.9332763045337895,0.7596963999721469,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5304491595480849,0.6794917049064596,0.5957907768492727,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5067264573991032,0.8570224719101124,0.6368855025571444,0,0,0,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
1,0.001,0.6325998185117967,0.9541488451668092,0.7607939431143851,12,312,4,2,0.0,0.0,0.0,0,0,0,0,0.5334648095648958,0.7638545711260148,0.6282023368894695,0,855,0,2,0.0,0.0,0.0,0,0,0,0,0.5090938355061967,0.8884831460674157,0.6472935639005423,5,197,2,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
2,0.002,0.6380396198328181,0.9532934131736527,0.7644395664700234,100,317,6,2,0.0,0.0,0.0,0,0,0,0,0.5334648095648958,0.7638545711260148,0.6282023368894695,0,855,0,2,0.0,0.0,0.0,0,0,0,0,0.5090148100450741,0.8882022471910113,0.6471551371264839,6,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
3,0.003,0.6380396198328181,0.9532934131736527,0.7644395664700234,100,317,6,2,0.0,0.0,0.0,0,0,0,0,0.5334648095648958,0.7638545711260148,0.6282023368894695,0,855,0,2,0.0,0.0,0.0,0,0,0,0,0.5090148100450741,0.8882022471910113,0.6471551371264839,6,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
4,0.004,0.6380396198328181,0.9532934131736527,0.7644395664700234,100,317,6,2,0.0,0.0,0.0,0,0,0,0,0.5334648095648958,0.7638545711260148,0.6282023368894695,0,855,0,2,0.0,0.0,0.0,0,0,0,0,0.5090148100450741,0.8882022471910113,0.6471551371264839,6,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
5,0.005,0.6380396198328181,0.9532934131736527,0.7644395664700234,100,317,6,2,0.0,0.0,0.0,0,0,0,0,0.5334648095648958,0.7638545711260148,0.6282023368894695,0,855,0,2,0.0,0.0,0.0,0,0,0,0,0.5090148100450741,0.8882022471910113,0.6471551371264839,6,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
6,0.006,0.6380396198328181,0.9532934131736527,0.7644395664700234,100,317,6,2,0.0,0.0,0.0,0,0,0,0,0.5334648095648958,0.7638545711260148,0.6282023368894695,0,855,0,2,0.0,0.0,0.0,0,0,0,0,0.5090148100450741,0.8882022471910113,0.6471551371264839,6,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
7,0.007,0.6380396198328181,0.9532934131736527,0.7644395664700234,100,317,6,2,0.0,0.0,0.0,0,0,0,0,0.5334648095648958,0.7638545711260148,0.6282023368894695,0,855,0,2,0.0,0.0,0.0,0,0,0,0,0.5090148100450741,0.8882022471910113,0.6471551371264839,6,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
8,0.008,0.6380396198328181,0.9532934131736527,0.7644395664700234,100,317,6,2,0.0,0.0,0.0,0,0,0,0,0.5406120136003022,0.7576773738086834,0.6309987506430513,190,873,2,2,0.0,0.0,0.0,0,0,0,0,0.5090148100450741,0.8882022471910113,0.6471551371264839,6,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
9,0.009000000000000001,0.6380396198328181,0.9532934131736527,0.7644395664700234,100,317,6,2,0.0,0.0,0.0,0,0,0,0,0.5406120136003022,0.7576773738086834,0.6309987506430513,190,873,2,2,0.0,0.0,0.0,0,0,0,0,0.5090148100450741,0.8882022471910113,0.6471551371264839,6,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
10,0.01,0.6380396198328181,0.9532934131736527,0.7644395664700234,100,317,6,2,0.0,0.0,0.0,0,0,0,0,0.5406120136003022,0.7576773738086834,0.6309987506430513,190,873,2,2,0.0,0.0,0.0,0,0,0,0,0.5090148100450741,0.8882022471910113,0.6471551371264839,6,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
11,0.011,0.6380396198328181,0.9532934131736527,0.7644395664700234,100,317,6,2,0.0,0.0,0.0,0,0,0,0,0.5406120136003022,0.7576773738086834,0.6309987506430513,190,873,2,2,0.0,0.0,0.0,0,0,0,0,0.5090148100450741,0.8882022471910113,0.6471551371264839,6,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
12,0.012,0.6380396198328181,0.9532934131736527,0.7644395664700234,100,317,6,2,0.0,0.0,0.0,0,0,0,0,0.5406120136003022,0.7576773738086834,0.6309987506430513,190,873,2,2,0.0,0.0,0.0,0,0,0,0,0.5090148100450741,0.8882022471910113,0.6471551371264839,6,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
13,0.013000000000000001,0.7012738853503184,0.941830624465355,0.8039430449069004,978,312,6,2,0.0,0.0,0.0,0,0,0,0,0.5406120136003022,0.7576773738086834,0.6309987506430513,190,873,2,2,0.0,0.0,0.0,0,0,0,0,0.5090148100450741,0.8882022471910113,0.6471551371264839,6,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
14,0.014,0.708032955715757,0.9409751924721984,0.8080511275986189,1065,317,8,2,0.0,0.0,0.0,0,0,0,0,0.6383841417630275,0.7502647370278857,0.6898174442190669,1462,863,2,2,0.0,0.0,0.0,0,0,0,0,0.5090148100450741,0.8882022471910113,0.6471551371264839,6,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
15,0.015,0.708032955715757,0.9409751924721984,0.8080511275986189,1065,317,8,2,0.0,0.0,0.0,0,0,0,0,0.6383841417630275,0.7502647370278857,0.6898174442190669,1462,863,2,2,0.0,0.0,0.0,0,0,0,0,0.5090148100450741,0.8882022471910113,0.6471551371264839,6,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
16,0.016,0.708032955715757,0.9409751924721984,0.8080511275986189,1065,317,8,2,0.0,0.0,0.0,0,0,0,0,0.6383841417630275,0.7502647370278857,0.6898174442190669,1462,863,2,2,0.0,0.0,0.0,0,0,0,0,0.5090148100450741,0.8882022471910113,0.6471551371264839,6,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
17,0.017,0.708032955715757,0.9409751924721984,0.8080511275986189,1065,317,8,2,0.0,0.0,0.0,0,0,0,0,0.6383841417630275,0.7502647370278857,0.6898174442190669,1462,863,2,2,0.0,0.0,0.0,0,0,0,0,0.5090148100450741,0.8882022471910113,0.6471551371264839,6,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
18,0.018000000000000002,0.708032955715757,0.9409751924721984,0.8080511275986189,1065,317,8,2,0.0,0.0,0.0,0,0,0,0,0.6383841417630275,0.7502647370278857,0.6898174442190669,1462,863,2,2,0.0,0.0,0.0,0,0,0,0,0.5696317900109369,0.8778089887640449,0.69091311076719,767,232,4,2,0.5901353521449874,0.4168878829746703,0.5901353521449874
19,0.019,0.708032955715757,0.9409751924721984,0.8080511275986189,1065,317,8,2,0.0,0.0,0.0,0,0,0,0,0.6383841417630275,0.7502647370278857,0.6898174442190669,1462,863,2,2,0.0,0.0,0.0,0,0,0,0,0.5696040868454662,0.8769662921348315,0.6906315673045016,772,232,6,2,0.5901353521449874,0.4168878829746703,0.5901353521449874
20,0.02,0.708032955715757,0.9409751924721984,0.8080511275986189,1065,317,8,2,0.0,0.0,0.0,0,0,0,0,0.6383841417630275,0.7502647370278857,0.6898174442190669,1462,863,2,2,0.0,0.0,0.0,0,0,0,0,0.5696040868454662,0.8769662921348315,0.6906315673045016,772,232,6,2,0.5901353521449874,0.4168878829746703,0.5901353521449874
21,0.021,0.708032955715757,0.9409751924721984,0.8080511275986189,1065,317,8,2,0.0,0.0,0.0,0,0,0,0,0.6383841417630275,0.7502647370278857,0.6898174442190669,1462,863,2,2,0.0,0.0,0.0,0,0,0,0,0.5696040868454662,0.8769662921348315,0.6906315673045016,772,232,6,2,0.5901353521449874,0.4168878829746703,0.5901353521449874
22,0.022,0.708032955715757,0.9409751924721984,0.8080511275986189,1065,317,8,2,0.0,0.0,0.0,0,0,0,0,0.6496687721460483,0.744264031062478,0.6937566833922842,1648,881,4,2,0.0,0.0,0.0,0,0,0,0,0.5696040868454662,0.8769662921348315,0.6906315673045016,772,232,6,2,0.5901353521449874,0.4168878829746703,0.5901353521449874
23,0.023,0.708032955715757,0.9409751924721984,0.8080511275986189,1065,317,8,2,0.0,0.0,0.0,0,0,0,0,0.6496687721460483,0.744264031062478,0.6937566833922842,1648,881,4,2,0.0,0.0,0.0,0,0,0,0,0.5696040868454662,0.8769662921348315,0.6906315673045016,772,232,6,2,0.5901353521449874,0.4168878829746703,0.5901353521449874
