,epsilon,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,acc,macro-F1,micro-F1
0,0.0,0.6405589478628464,0.9332763045337895,0.7596963999721469,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5304491595480849,0.6794917049064596,0.5957907768492727,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5067264573991032,0.8570224719101124,0.6368855025571444,0,0,0,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
1,0.001,0.6414628410159925,0.9332763045337895,0.7603317304341766,12,0,4,0,0.0,0.0,0.0,0,0,0,0,0.5304491595480849,0.6794917049064596,0.5957907768492727,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5066489361702128,0.8561797752808988,0.6365914786967418,5,0,2,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
2,0.002,0.6473384030418251,0.9320786997433704,0.7640417923006803,100,0,6,0,0.0,0.0,0.0,0,0,0,0,0.5304491595480849,0.6794917049064596,0.5957907768492727,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5065669160432252,0.8558988764044944,0.6364490861618798,6,0,4,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
3,0.003,0.6473384030418251,0.9320786997433704,0.7640417923006803,100,0,6,0,0.0,0.0,0.0,0,0,0,0,0.5304491595480849,0.6794917049064596,0.5957907768492727,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5065669160432252,0.8558988764044944,0.6364490861618798,6,0,4,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
4,0.004,0.6473384030418251,0.9320786997433704,0.7640417923006803,100,0,6,0,0.0,0.0,0.0,0,0,0,0,0.5304491595480849,0.6794917049064596,0.5957907768492727,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5065669160432252,0.8558988764044944,0.6364490861618798,6,0,4,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
5,0.005,0.6473384030418251,0.9320786997433704,0.7640417923006803,100,0,6,0,0.0,0.0,0.0,0,0,0,0,0.5304491595480849,0.6794917049064596,0.5957907768492727,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5065669160432252,0.8558988764044944,0.6364490861618798,6,0,4,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
6,0.006,0.6473384030418251,0.9320786997433704,0.7640417923006803,100,0,6,0,0.0,0.0,0.0,0,0,0,0,0.5304491595480849,0.6794917049064596,0.5957907768492727,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5065669160432252,0.8558988764044944,0.6364490861618798,6,0,4,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
7,0.007,0.6473384030418251,0.9320786997433704,0.7640417923006803,100,0,6,0,0.0,0.0,0.0,0,0,0,0,0.5304491595480849,0.6794917049064596,0.5957907768492727,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5065669160432252,0.8558988764044944,0.6364490861618798,6,0,4,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
8,0.008,0.6473384030418251,0.9320786997433704,0.7640417923006803,100,0,6,0,0.0,0.0,0.0,0,0,0,0,0.5387662705149971,0.6720790681256619,0.5980838699544526,190,0,2,0,0.0,0.0,0.0,0,0,0,0,0.5065669160432252,0.8558988764044944,0.6364490861618798,6,0,4,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
9,0.009000000000000001,0.6473384030418251,0.9320786997433704,0.7640417923006803,100,0,6,0,0.0,0.0,0.0,0,0,0,0,0.5387662705149971,0.6720790681256619,0.5980838699544526,190,0,2,0,0.0,0.0,0.0,0,0,0,0,0.5065669160432252,0.8558988764044944,0.6364490861618798,6,0,4,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
10,0.01,0.6473384030418251,0.9320786997433704,0.7640417923006803,100,0,6,0,0.0,0.0,0.0,0,0,0,0,0.5387662705149971,0.6720790681256619,0.5980838699544526,190,0,2,0,0.0,0.0,0.0,0,0,0,0,0.5065669160432252,0.8558988764044944,0.6364490861618798,6,0,4,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
11,0.011,0.6473384030418251,0.9320786997433704,0.7640417923006803,100,0,6,0,0.0,0.0,0.0,0,0,0,0,0.5387662705149971,0.6720790681256619,0.5980838699544526,190,0,2,0,0.0,0.0,0.0,0,0,0,0,0.5065669160432252,0.8558988764044944,0.6364490861618798,6,0,4,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
12,0.012,0.6473384030418251,0.9320786997433704,0.7640417923006803,100,0,6,0,0.0,0.0,0.0,0,0,0,0,0.5387662705149971,0.6720790681256619,0.5980838699544526,190,0,2,0,0.0,0.0,0.0,0,0,0,0,0.5065669160432252,0.8558988764044944,0.6364490861618798,6,0,4,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
13,0.013000000000000001,0.7141151499071372,0.9209580838323354,0.8044534110438617,978,0,6,0,0.0,0.0,0.0,0,0,0,0,0.5387662705149971,0.6720790681256619,0.5980838699544526,190,0,2,0,0.0,0.0,0.0,0,0,0,0,0.5065669160432252,0.8558988764044944,0.6364490861618798,6,0,4,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
