,epsilon,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,acc,macro-F1,micro-F1
0,0.0,0.6405589478628464,0.9332763045337895,0.7596963999721469,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5304491595480849,0.6794917049064596,0.5957907768492727,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5067264573991032,0.8570224719101124,0.6368855025571444,0,0,0,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
1,0.001,0.6325581395348837,0.9539777587681779,0.7607094133697134,13,312,4,2,0.0,0.0,0.0,0,0,0,0,0.5334648095648958,0.7638545711260148,0.6282023368894695,0,855,0,2,0.0,0.0,0.0,0,0,0,0,0.508938637461749,0.8876404494382022,0.646944416009827,9,197,2,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
2,0.002,0.6382393397524071,0.9526090675791274,0.7643626878989634,104,312,6,2,0.0,0.0,0.0,0,0,0,0,0.5334648095648958,0.7638545711260148,0.6282023368894695,0,855,0,2,0.0,0.0,0.0,0,0,0,0,0.5088595360824743,0.8873595505617977,0.6468058968058968,10,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
3,0.003,0.6382393397524071,0.9526090675791274,0.7643626878989634,104,312,6,2,0.0,0.0,0.0,0,0,0,0,0.5334648095648958,0.7638545711260148,0.6282023368894695,0,855,0,2,0.0,0.0,0.0,0,0,0,0,0.5088595360824743,0.8873595505617977,0.6468058968058968,10,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
4,0.004,0.6382393397524071,0.9526090675791274,0.7643626878989634,104,312,6,2,0.0,0.0,0.0,0,0,0,0,0.5334648095648958,0.7638545711260148,0.6282023368894695,0,855,0,2,0.0,0.0,0.0,0,0,0,0,0.5088595360824743,0.8873595505617977,0.6468058968058968,10,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
5,0.005,0.6382393397524071,0.9526090675791274,0.7643626878989634,104,312,6,2,0.0,0.0,0.0,0,0,0,0,0.5334648095648958,0.7638545711260148,0.6282023368894695,0,855,0,2,0.0,0.0,0.0,0,0,0,0,0.5088595360824743,0.8873595505617977,0.6468058968058968,10,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
6,0.006,0.6382393397524071,0.9526090675791274,0.7643626878989634,104,312,6,2,0.0,0.0,0.0,0,0,0,0,0.5334648095648958,0.7638545711260148,0.6282023368894695,0,855,0,2,0.0,0.0,0.0,0,0,0,0,0.5088595360824743,0.8873595505617977,0.6468058968058968,10,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
7,0.007,0.6382393397524071,0.9526090675791274,0.7643626878989634,104,312,6,2,0.0,0.0,0.0,0,0,0,0,0.5334648095648958,0.7638545711260148,0.6282023368894695,0,855,0,2,0.0,0.0,0.0,0,0,0,0,0.5088595360824743,0.8873595505617977,0.6468058968058968,10,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
8,0.008,0.6382393397524071,0.9526090675791274,0.7643626878989634,104,312,6,2,0.0,0.0,0.0,0,0,0,0,0.5420311905667554,0.7545005294740558,0.6308566369069578,226,855,2,2,0.0,0.0,0.0,0,0,0,0,0.5088595360824743,0.8873595505617977,0.6468058968058968,10,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
9,0.009000000000000001,0.6382393397524071,0.9526090675791274,0.7643626878989634,104,312,6,2,0.0,0.0,0.0,0,0,0,0,0.5420311905667554,0.7545005294740558,0.6308566369069578,226,855,2,2,0.0,0.0,0.0,0,0,0,0,0.5088595360824743,0.8873595505617977,0.6468058968058968,10,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
