,epsilon,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,acc,macro-F1,micro-F1
0,0.0,0.5865194291071987,0.9632164242942686,0.729085729085729,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5755788868114483,0.7063183903988705,0.634281638798637,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5714285714285714,0.8415730337078652,0.6806770419175281,0,0,0,0,0.57939894471209,0.40880888196037884,0.57939894471209
1,0.001,0.5868432026688908,0.9630453378956373,0.7292867785191424,7,0,10,0,0.0,0.0,0.0,0,0,50,0,0.5772674754477181,0.7054359336392517,0.6349483717235901,29,0,5,0,0.0,0.0,0.0,0,0,50,0,0.5714285714285714,0.8415730337078652,0.6806770419175281,0,0,5,0,0.57939894471209,0.40880888196037884,0.57939894471209
2,0.002,0.5911241981280891,0.9616766467065868,0.7321870522339455,90,0,15,0,0.0,0.0,0.0,0,0,50,0,0.5772674754477181,0.7054359336392517,0.6349483717235901,29,0,5,0,0.0,0.0,0.0,0,0,50,0,0.5749182535102905,0.8396067415730337,0.6824980020550291,44,0,10,0,0.57939894471209,0.40880888196037884,0.57939894471209
3,0.003,0.5911241981280891,0.9616766467065868,0.7321870522339455,90,0,15,0,0.0,0.0,0.0,0,0,50,0,0.5772674754477181,0.7054359336392517,0.6349483717235901,29,0,5,0,0.0,0.0,0.0,0,0,50,0,0.5749182535102905,0.8396067415730337,0.6824980020550291,44,0,10,0,0.57939894471209,0.40880888196037884,0.57939894471209
4,0.004,0.5911241981280891,0.9616766467065868,0.7321870522339455,90,0,15,0,0.0,0.0,0.0,0,0,50,0,0.5772674754477181,0.7054359336392517,0.6349483717235901,29,0,5,0,0.0,0.0,0.0,0,0,50,0,0.5749182535102905,0.8396067415730337,0.6824980020550291,44,0,10,0,0.57939894471209,0.40880888196037884,0.57939894471209
5,0.005,0.5911241981280891,0.9616766467065868,0.7321870522339455,90,0,15,0,0.0,0.0,0.0,0,0,50,0,0.5772674754477181,0.7054359336392517,0.6349483717235901,29,0,5,0,0.0,0.0,0.0,0,0,50,0,0.5749182535102905,0.8396067415730337,0.6824980020550291,44,0,10,0,0.57939894471209,0.40880888196037884,0.57939894471209
6,0.006,0.5911241981280891,0.9616766467065868,0.7321870522339455,90,0,15,0,0.0,0.0,0.0,0,0,50,0,0.5772674754477181,0.7054359336392517,0.6349483717235901,29,0,5,0,0.0,0.0,0.0,0,0,50,0,0.5749182535102905,0.8396067415730337,0.6824980020550291,44,0,10,0,0.57939894471209,0.40880888196037884,0.57939894471209
7,0.007,0.5911241981280891,0.9616766467065868,0.7321870522339455,90,0,15,0,0.0,0.0,0.0,0,0,50,0,0.5853874538745387,0.6999647017296152,0.6375693272244995,178,0,5,0,0.0,0.0,0.0,0,0,50,0,0.5749182535102905,0.8396067415730337,0.6824980020550291,44,0,10,0,0.57939894471209,0.40880888196037884,0.57939894471209
8,0.008,0.5911241981280891,0.9616766467065868,0.7321870522339455,90,0,15,0,0.0,0.0,0.0,0,0,50,0,0.5871627631188853,0.6990822449699965,0.6382533032549147,207,0,10,0,0.0,0.0,0.0,0,0,50,0,0.587606414571372,0.8337078651685393,0.6893508303332946,192,0,10,0,0.57939894471209,0.40880888196037884,0.57939894471209
9,0.009000000000000001,0.5911241981280891,0.9616766467065868,0.7321870522339455,90,0,15,0,0.0,0.0,0.0,0,0,50,0,0.5871627631188853,0.6990822449699965,0.6382533032549147,207,0,10,0,0.0,0.0,0.0,0,0,50,0,0.587606414571372,0.8337078651685393,0.6893508303332946,192,0,10,0,0.57939894471209,0.40880888196037884,0.57939894471209
10,0.01,0.5911241981280891,0.9616766467065868,0.7321870522339455,90,0,15,0,0.0,0.0,0.0,0,0,50,0,0.653095001655081,0.6964348746911402,0.6740690126409292,911,0,5,0,0.0,0.0,0.0,0,0,50,0,0.5912539936102237,0.8317415730337079,0.6911764705882354,235,0,15,0,0.57939894471209,0.40880888196037884,0.57939894471209
11,0.011,0.5911241981280891,0.9616766467065868,0.7321870522339455,90,0,15,0,0.0,0.0,0.0,0,0,50,0,0.6554132712456344,0.6955524179315213,0.6748865485058653,940,0,10,0,0.0,0.0,0.0,0,0,50,0,0.5912539936102237,0.8317415730337079,0.6911764705882354,235,0,15,0,0.57939894471209,0.40880888196037884,0.57939894471209
