,epsilon,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,acc,macro-F1,micro-F1
0,0.0,0.5865194291071987,0.9632164242942686,0.729085729085729,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5755788868114483,0.7063183903988705,0.634281638798637,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5714285714285714,0.8415730337078652,0.6806770419175281,0,0,0,0,0.57939894471209,0.40880888196037884,0.57939894471209
1,0.001,0.5864255274919447,0.9652694610778443,0.7296004138109401,7,29,10,5,0.0,0.0,0.0,2434,2434,50,5,0.5786985539488321,0.7345570067066713,0.647379063617981,36,275,5,5,0.0,0.0,0.0,1958,1958,50,5,0.5745897104923474,0.8752808988764045,0.6937548703105867,0,180,5,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
2,0.002,0.5906469539687533,0.9637296834901625,0.7324145104667794,91,29,15,5,0.0,0.0,0.0,2434,2434,50,5,0.5786985539488321,0.7345570067066713,0.647379063617981,36,275,5,5,0.0,0.0,0.0,1958,1958,50,5,0.5779389880952381,0.8727528089887641,0.695389435989257,47,180,10,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
3,0.003,0.5906469539687533,0.9637296834901625,0.7324145104667794,91,29,15,5,0.0,0.0,0.0,2434,2434,50,5,0.5786985539488321,0.7345570067066713,0.647379063617981,36,275,5,5,0.0,0.0,0.0,1958,1958,50,5,0.5779389880952381,0.8727528089887641,0.695389435989257,47,180,10,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
4,0.004,0.5906469539687533,0.9637296834901625,0.7324145104667794,91,29,15,5,0.0,0.0,0.0,2434,2434,50,5,0.5786985539488321,0.7345570067066713,0.647379063617981,36,275,5,5,0.0,0.0,0.0,1958,1958,50,5,0.5779389880952381,0.8727528089887641,0.695389435989257,47,180,10,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
5,0.005,0.5906469539687533,0.9637296834901625,0.7324145104667794,91,29,15,5,0.0,0.0,0.0,2434,2434,50,5,0.5786985539488321,0.7345570067066713,0.647379063617981,36,275,5,5,0.0,0.0,0.0,1958,1958,50,5,0.5779389880952381,0.8727528089887641,0.695389435989257,47,180,10,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
6,0.006,0.5906469539687533,0.9637296834901625,0.7324145104667794,91,29,15,5,0.0,0.0,0.0,2434,2434,50,5,0.5786985539488321,0.7345570067066713,0.647379063617981,36,275,5,5,0.0,0.0,0.0,1958,1958,50,5,0.5779389880952381,0.8727528089887641,0.695389435989257,47,180,10,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
7,0.007,0.5906469539687533,0.9637296834901625,0.7324145104667794,91,29,15,5,0.0,0.0,0.0,2434,2434,50,5,0.5869379624359704,0.7280268266854925,0.6499133448873484,200,275,5,5,0.0,0.0,0.0,1958,1958,50,5,0.5779389880952381,0.8727528089887641,0.695389435989257,47,180,10,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
8,0.008,0.5906469539687533,0.9637296834901625,0.7324145104667794,91,29,15,5,0.0,0.0,0.0,2434,2434,50,5,0.5889588100686499,0.7267913872220261,0.6506557118028125,236,275,10,5,0.0,0.0,0.0,1958,1958,50,5,0.5908828620888632,0.8629213483146068,0.7014499372074438,224,180,10,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
9,0.009000000000000001,0.5906469539687533,0.9637296834901625,0.7324145104667794,91,29,15,5,0.0,0.0,0.0,2434,2434,50,5,0.5889588100686499,0.7267913872220261,0.6506557118028125,236,275,10,5,0.0,0.0,0.0,1958,1958,50,5,0.5908828620888632,0.8629213483146068,0.7014499372074438,224,180,10,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
10,0.01,0.5906469539687533,0.9637296834901625,0.7324145104667794,91,29,15,5,0.0,0.0,0.0,2434,2434,50,5,0.6509897070467142,0.7255559477585598,0.686253234287622,913,275,5,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
11,0.011,0.5906469539687533,0.9637296834901625,0.7324145104667794,91,29,15,5,0.0,0.0,0.0,2434,2434,50,5,0.6536072623029144,0.7243205082950935,0.6871494349100041,949,275,10,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
12,0.012,0.5906469539687533,0.9637296834901625,0.7324145104667794,91,29,15,5,0.0,0.0,0.0,2434,2434,50,5,0.6536072623029144,0.7243205082950935,0.6871494349100041,949,275,10,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
13,0.013000000000000001,0.5906469539687533,0.9637296834901625,0.7324145104667794,91,29,15,5,0.0,0.0,0.0,2434,2434,50,5,0.6536072623029144,0.7243205082950935,0.6871494349100041,949,275,10,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
14,0.014,0.5906469539687533,0.9637296834901625,0.7324145104667794,91,29,15,5,0.0,0.0,0.0,2434,2434,50,5,0.6536072623029144,0.7243205082950935,0.6871494349100041,949,275,10,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
15,0.015,0.5906469539687533,0.9637296834901625,0.7324145104667794,91,29,15,5,0.0,0.0,0.0,2434,2434,50,5,0.6536072623029144,0.7243205082950935,0.6871494349100041,949,275,10,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
16,0.016,0.5906469539687533,0.9637296834901625,0.7324145104667794,91,29,15,5,0.0,0.0,0.0,2434,2434,50,5,0.6536072623029144,0.7243205082950935,0.6871494349100041,949,275,10,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
17,0.017,0.5906469539687533,0.9637296834901625,0.7324145104667794,91,29,15,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
18,0.018000000000000002,0.5906469539687533,0.9637296834901625,0.7324145104667794,91,29,15,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
19,0.019,0.6797249171067175,0.9469632164242943,0.7913926222476408,1485,29,15,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
20,0.02,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
21,0.021,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
22,0.022,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
23,0.023,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
24,0.024,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
25,0.025,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
26,0.026000000000000002,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
27,0.027,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
28,0.028,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
29,0.029,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
30,0.03,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
31,0.031,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
32,0.032,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
33,0.033,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
34,0.034,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
35,0.035,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6677079907925024,0.716731380162372,0.6913517194416071,1146,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
36,0.036000000000000004,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6871421134825612,0.6989057536180727,0.6929740134744947,1465,275,10,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
37,0.037,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6902392177405273,0.6976703141546065,0.6939348722900026,1501,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
38,0.038,0.6856079404466501,0.9454234388366125,0.7948220064724919,1568,29,20,5,0.0,0.0,0.0,2434,2434,50,5,0.6902392177405273,0.6976703141546065,0.6939348722900026,1501,275,15,5,0.0,0.0,0.0,1958,1958,50,5,0.5944110227052203,0.8603932584269663,0.7030873407551934,270,180,15,5,0.7270933700389998,0.7063364254500761,0.7270933700389998
